tconst,nconst,category,characters
tt0085918,nm0107679,actress,[Susan Walker Farrell]
tt0085918,nm0123680,actor,[Dr. Simon Andrews]
tt0085918,nm0792073,actor,"[Ben, the gardener]"
tt0085918,nm0656250,actress,"[Elsie, the maid]"
tt0085918,nm0386145,actress,[Aunt Cora Nomed]
tt0085918,nm0542966,actress,[Dr. Roni Logan]
tt0085918,nm0160677,actress,[Young Susan]
tt0085918,nm0539013,actor,[Delivery Boy]
tt0085918,nm0134260,actor,[Gallery Owner]
tt0085918,nm0240826,director,\N
tt0085919,nm0001673,actor,[Max Dugan]
tt0085919,nm0556850,actress,[Nora McPhee]
tt0085919,nm0000661,actor,[Brian Costello]
tt0085919,nm0000111,actor,[Michael McPhee]
tt0085919,nm0329060,actress,[Mrs. Litke]
tt0085919,nm0899601,actor,[Coach Roy]
tt0085919,nm0351225,actor,[Luis]
tt0085919,nm0490504,actor,[Charley Lau]
tt0085919,nm0331100,actress,[Pat]
tt0085919,nm0663931,actor,[Kevin Costello]
tt0085919,nm0006889,director,\N
tt0085933,nm0000309,actor,[Celliers]
tt0085933,nm0002018,actor,[Lawrence]
tt0085933,nm0757098,actor,[Yonoi]
tt0085933,nm0001429,actor,[Hara]
tt0085933,nm0860233,actor,[Hicksley]
tt0085933,nm0429721,actor,[Kanemoto]
tt0085933,nm0115143,actor,[De Jong]
tt0085933,nm0539109,actor,[Celliers' Brother]
tt0085933,nm0112740,actor,[Celliers 12 Years]
tt0085933,nm0879764,actor,[Commandant of Military Prison]
tt0085933,nm0651915,director,\N
tt0085935,nm0126397,actor,[Dogen]
tt0085935,nm0696463,actor,[Jared-Syn]
tt0085935,nm0859772,actor,[Rhodes]
tt0085935,nm0000593,actress,[Dhyana]
tt0085935,nm0596959,actor,[Hurok]
tt0085935,nm0809634,actor,[Baal]
tt0085935,nm0672074,actor,[Aix]
tt0085935,nm0951865,actor,[Zax]
tt0085935,nm0289157,actress,[Poker Annie]
tt0085935,nm0428264,actor,[Baal's Lieutenant]
tt0085935,nm0023929,director,\N
tt0085937,nm0894682,actor,[Donald]
tt0085937,nm0770623,actor,[Roosevelt]
tt0085937,nm0873764,actor,[Philip]
tt0085937,nm0800282,actress,[Knothole Girl]
tt0085937,nm0320093,actress,[May]
tt0085937,nm0916402,actress,[Dee Dee Dee]
tt0085937,nm0549216,actress,[Chick]
tt0085937,nm0304562,actress,[Susie Grubb]
tt0085937,nm0022630,actress,[Evelyn]
tt0085937,nm0550980,actress,[Neighbor]
tt0085937,nm0078540,director,\N
tt0085951,nm0438071,actor,\N
tt0085951,nm0510966,actress,\N
tt0085951,nm0917651,actor,[Chan's girl]
tt0085951,nm0910979,actor,[(Guest star)]
tt0085951,nm3292589,actor,\N
tt0085951,nm1747431,actor,[Uncle Qi]
tt0085951,nm3082237,actor,[Bellman]
tt0085951,nm3064027,actor,\N
tt0085951,nm0482708,actor,\N
tt0085951,nm2407506,actor,\N
tt0085951,nm0346640,director,\N
tt0085959,nm0000092,actor,[Fish #2]
tt0085959,nm0000092,actor,[Dr. Spencer]
tt0085959,nm0000092,actor,[Humphrey Williams]
tt0085959,nm0000416,actor,[Window Washer]
tt0085959,nm0000416,actor,[Fish #4]
tt0085959,nm0000416,actor,[Walters]
tt0085959,nm0001385,actor,[Gunther]
tt0085959,nm0001385,actor,[Fish #3]
tt0085959,nm0001385,actor,['Meaning of Life' Singer]
tt0085959,nm0001402,actor,[Bert]
tt0085959,nm0001402,actor,[Fish #6]
tt0085959,nm0001402,actor,[Mum]
tt0085959,nm0001037,actor,[Chairman]
tt0085959,nm0001037,actor,[Fish #1]
tt0085959,nm0001037,actor,[Doctor]
tt0085959,nm0001589,actor,[Window Washer]
tt0085959,nm0001589,actor,[Harry]
tt0085959,nm0001589,actor,[Fish #5]
tt0085959,nm0166470,actress,[Beefeater Waitress]
tt0085959,nm0166470,actress,[Wife of Guest #1]
tt0085959,nm0166470,actress,[Leaf Mother]
tt0085959,nm0429254,actor,[Chadwick]
tt0085959,nm0429254,actor,[Jeremy Portland-Smythe]
tt0085959,nm0703946,actress,[Mrs. Williams]
tt0085959,nm0517182,actress,[Nurse #1]
tt0085959,nm0001402,director,\N
tt0085970,nm0000474,actor,[Jack]
tt0085970,nm0000414,actress,[Caroline Butler]
tt0085970,nm0462735,actor,[Alex Butler]
tt0085970,nm0043552,actor,[Kenny Butler]
tt0085970,nm0924633,actress,[Megan Butler]
tt0085970,nm0924555,actress,[Megan Butler]
tt0085970,nm0611898,actor,[Ron Richardson]
tt0085970,nm0422713,actress,[Joan Hampton]
tt0085970,nm0001787,actor,[Jinx Lathman]
tt0085970,nm0000502,actor,[Larry]
tt0085970,nm0236769,director,\N
tt0085980,nm0490402,actor,[Bobby Chrystal]
tt0085980,nm0443268,actress,[Terry Green]
tt0085980,nm0002994,actor,[Mr. Chrystal]
tt0085980,nm0104745,actor,[Billy]
tt0085980,nm0061764,actor,[Don Sylvester]
tt0085980,nm0326626,actress,[Mrs. Chrystal]
tt0085980,nm0000417,actor,[Jack]
tt0085980,nm0042322,actress,[Bonnie]
tt0085980,nm0889855,actor,[Manuel]
tt0085980,nm0577594,actress,[Maria]
tt0085980,nm0101055,director,\N
tt0085991,nm0847264,actor,[Akira Ushioda]
tt0085991,nm0913912,actor,[Kenjirô Ochi]
tt0085991,nm0645402,actor,[Chief Ozawa]
tt0085991,nm0622418,actress,[Keiko Kitazawa]
tt0085991,nm0644713,actress,[Asako Shimura]
tt0085991,nm0476185,actor,[Morishima Kyoju]
tt0085991,nm0477772,actor,[Horigome Taicho]
tt0085991,nm0945522,actor,[Iwakiri Sencho]
tt0085991,nm0262137,actor,[Tokumitsu Taiin]
tt0085991,nm0766233,actor,[Toda Taicho]
tt0085991,nm0475542,director,\N
tt0085994,nm0000169,actor,[Captain Bully Hayes]
tt0085994,nm0001574,actor,[Nathaniel Williamson]
tt0085994,nm0681041,actor,[Ben Pease]
tt0085994,nm0780485,actress,[Sophie]
tt0085994,nm0863458,actor,[Count Von Rittenberg]
tt0085994,nm0746821,actor,[Louis Beck]
tt0085994,nm0424592,actor,[Reverend Williamson]
tt0085994,nm0362001,actress,[Mrs. Williamson]
tt0085994,nm0749986,actor,[Moaka]
tt0085994,nm0006355,actor,[Auctioneer]
tt0085994,nm0265564,director,\N
tt0085995,nm0000331,actor,[Clark Griswold]
tt0085995,nm0000350,actress,[Ellen Griswold]
tt0085995,nm0168042,actress,[Aunt Edna]
tt0085995,nm0001642,actor,[Cousin Eddie]
tt0085995,nm0001309,actor,[Rusty Griswold]
tt0085995,nm0057654,actress,[Audrey Griswold]
tt0085995,nm0102787,actor,[Roy Walley]
tt0085995,nm0236519,actor,[Kamp Komfort Clerk]
tt0085995,nm0283565,actress,[Cousin Catherine]
tt0085995,nm0005077,actor,[Motorcycle Cop]
tt0085995,nm0000601,director,\N
tt0086005,nm0001747,actor,[Farley Mowat]
tt0086005,nm0001747,actor,[Tyler]
tt0086005,nm0001133,actor,[Rosie]
tt0086005,nm0411814,actor,[Ootek]
tt0086005,nm0429786,actor,[Mike]
tt0086005,nm0916908,actor,[Drunk]
tt0086005,nm0411813,actress,[Woman]
tt0086005,nm0197080,actor,[Hunter #1]
tt0086005,nm0835872,actor,[Hunter #2]
tt0086005,nm0050597,director,\N
tt0086006,nm0000125,actor,[James Bond]
tt0086006,nm0000107,actress,[Domino Petachi]
tt0086006,nm0001970,actor,[Maximilian Largo]
tt0086006,nm0001884,actor,[Ernst Stavro Blofeld]
tt0086006,nm0000324,actress,[Fatima Blush]
tt0086006,nm0143378,actor,[Felix Leiter]
tt0086006,nm0566680,actor,['Q' Algy]
tt0086006,nm0002081,actor,['M']
tt0086006,nm0758012,actress,[Miss Moneypenny]
tt0086006,nm0000100,actor,[Nigel Small-Fawcett]
tt0086006,nm0449984,director,\N
tt0086011,nm0000803,actor,[Rick]
tt0086011,nm0000690,actress,[Faye]
tt0086011,nm0517515,actor,[Whitney]
tt0086011,nm0750658,actress,[Patsy]
tt0086011,nm0855899,actor,[Tony]
tt0086011,nm0063701,actress,[Slick]
tt0086011,nm0253444,actress,[Shirley]
tt0086011,nm0811202,actress,[Mrs. Johnson]
tt0086011,nm0004671,actress,[Eve]
tt0086011,nm0117930,actor,[Jack Hobbs]
tt0086011,nm0000814,director,\N
tt0086013,nm0341612,actor,[Sheriff Cinder]
tt0086013,nm0954745,actor,[Jamie Lambert]
tt0086013,nm0439086,actress,[Lisa Kent]
tt0086013,nm0832928,actor,[Steven Price]
tt0086013,nm0500148,actor,[Drago]
tt0086013,nm0295943,actress,[Ruth Sherman]
tt0086013,nm0379124,actress,[Mary Jane]
tt0086013,nm0246055,actor,[Mayor Bert Wicker]
tt0086013,nm0230630,actor,[Greg]
tt0086013,nm0230631,actress,[Kim]
tt0086013,nm0230629,director,\N
tt0086014,nm0707043,actress,[Lisa the Wife (segment \Terror in Topanga\)]
tt0086014,nm0483379,actor,[Phil the Husband (segment \Terror in Topanga\)]
tt0086014,nm0416279,actor,[Store Clerk (segment \Terror in Topanga\)]
tt0086014,nm0634653,actress,[Mori the Newswoman (segment \Terror in Topanga\)]
tt0086014,nm0094018,actor,"[Norman, a Neighbor (segment \Terror in Topanga\)]"
tt0086014,nm0679835,actor,[Newsman (segment \Terror in Topanga\)]
tt0086014,nm0747297,actress,[Little Girl (segment \Terror in Topanga\)]
tt0086014,nm0898962,actor,[William Henry Glazier (segment \Terror in Topanga\)]
tt0086014,nm0000389,actor,[J.J. Cooney (segment \The Bishop of Battle\)]
tt0086014,nm0182582,actress,[Adele Cooney (segment \The Bishop of Battle\)]
