tconst,nconst,category,characters
tt1311067,nm0000532,actor,[Dr. Samuel Loomis]
tt1311067,nm0600667,actress,[Deborah Myers]
tt1311067,nm3101175,actor,[Young Michael]
tt1311067,nm0000374,actor,[Sheriff Lee Brackett]
tt1311067,nm0930226,actress,[Dr. Maple]
tt1311067,nm0130502,actor,[Coroner Hooks]
tt1311067,nm0104114,actor,[Gary Scott]
tt1311067,nm0818055,actress,[Nurse Daniels]
tt1311067,nm0957772,director,\N
tt1311071,nm0705356,actor,[Allen Ginsberg]
tt1311071,nm2851530,actor,[Lucien Carr]
tt1311071,nm0355910,actor,[David Kammerer]
tt1311071,nm0004936,actor,[William Burroughs]
tt1311071,nm1658935,actor,[Jack Kerouac]
tt1311071,nm0189144,actor,[Louis Ginsberg]
tt1311071,nm0000492,actress,[Naomi Ginsberg]
tt1311071,nm0647634,actress,[Edie Parker]
tt1311071,nm0191633,actor,[Professor Steeves]
tt1311071,nm0917570,actress,[Permissions Librarian]
tt1311071,nm1045865,director,\N
tt1311075,nm0411980,actor,[The Human Resources Manager]
tt1311075,nm1094877,actor,[The Weasel]
tt1311075,nm3752454,actor,[The Boy]
tt1311075,nm0131399,actress,[The Israeli Consul]
tt1311075,nm0624536,actor,[The Vice Consul]
tt1311075,nm0822647,actor,[The Ex-Husband]
tt1311075,nm0021734,actress,[The Widow]
tt1311075,nm1381503,actor,[The Night Shift Supervisor]
tt1311075,nm1492000,actress,[The Manager's Ex-Wife]
tt1311075,nm0677860,actress,[The Grandmother]
tt1311075,nm0726954,director,\N
tt13110808,nm3971767,actor,\N
tt13110808,nm12891318,actress,\N
tt13110808,nm10538080,actress,\N
tt13110808,nm0352031,actor,\N
tt13110808,nm12349591,actress,\N
tt13110808,nm9571894,actress,[Zara]
tt13110808,nm11140309,actor,[Ali]
tt13110808,nm5639197,actor,\N
tt13110808,nm13329927,actress,\N
tt13110808,nm13329949,actor,\N
tt13110808,nm11907121,director,\N
tt13110816,nm10954569,actor,\N
tt13110816,nm6845066,actor,[Sai Kumar brother]
tt13110816,nm9571894,actress,\N
tt13110816,nm13916143,actor,\N
tt13110816,nm11907156,director,\N
tt13110998,nm10902829,actress,[Siti]
tt13110998,nm0816030,actress,[Agathe]
tt13110998,nm8434243,actor,[Cornelis]
tt13110998,nm4313760,actress,[Josefien]
tt13110998,nm10578895,actor,[Reza]
tt13110998,nm14540777,actor,[Karel]
tt13110998,nm0196723,actor,[Jan]
tt13110998,nm0264512,actor,[Reverend]
tt13110998,nm2681362,actor,[Hong]
tt13110998,nm0631342,actress,[Clara]
tt13110998,nm5959869,director,\N
tt1311638,nm0015001,actor,[Shiva]
tt1311638,nm1521381,actress,[Malika]
tt1311638,nm1963406,actor,[Narian]
tt1311638,nm3170829,actress,[Pooja]
tt1311638,nm0838520,actor,[Chinappa]
tt1311638,nm0222181,actor,[Ram Prasad]
tt1311638,nm0419688,actor,[Albert Adiya Patham]
tt1311638,nm0621937,actor,[Shiva's Father]
tt1311638,nm0007124,actress,[Shiva's Mother]
tt1311638,nm1417060,actor,[Chinnappa's Bodyguard]
tt1311638,nm0839045,director,\N
tt1311699,nm7640951,actor,[Calvin]
tt1311699,nm4276736,actor,[Rude Boy 1]
tt1311699,nm1265067,actor,[Thigo]
tt1311699,nm0910180,actor,[Fitzroy]
tt1311699,nm1268748,actor,[Nick]
tt1311699,nm0245705,actor,[Bing]
tt1311699,nm0000950,actress,[Mother]
tt1311699,nm0005195,actress,[Frankie]
tt1311699,nm0205289,actor,[Johnny Sands]
tt1311699,nm0956722,actor,[Jag Owner]
tt1311699,nm0211072,director,\N
tt13117446,nm7459010,actress,[Jigme]
tt13117446,nm3879509,actor,[Arlo]
tt13117446,nm0715000,actor,[Saskaks]
tt13117446,nm12621897,actress,[Spectral Woman]
tt13117446,nm6875905,actor,[Prince Torsten]
tt13117446,nm7932165,actress,[Lauris]
tt13117446,nm9863032,actress,[Everen]
tt13117446,nm7899510,actor,[Despair Demon]
tt13117446,nm10297359,actor,[Jamoch]
tt13117446,nm11660851,actor,[King's Guard]
tt13117446,nm3879509,director,\N
tt13117720,nm3844430,actress,[Olivia]
tt13117720,nm3730720,actor,[Julian]
tt13117720,nm3886595,actress,[Mia]
tt13117720,nm9377089,actress,[Riley]
tt13117720,nm10154980,actress,[Valya]
tt13117720,nm9512660,actor,[A.J.]
tt13117720,nm6909735,actress,[Karen]
tt13117720,nm1345026,actor,[Leo]
tt13117720,nm9446362,actress,[Tatiana]
tt13117720,nm12739220,actor,[Photo Assistant]
tt13117720,nm3439604,director,\N
tt13118012,nm4354825,actress,[Karime]
tt13118012,nm1209192,actor,[Guillermo]
tt13118012,nm1987941,actress,[Jackie]
tt13118012,nm1987941,actress,[Jackie]
tt13118012,nm1987941,actress,[Bety]
tt13118012,nm1987941,actress,[Bety]
tt13118012,nm0064933,actor,[Don Gonzalo]
tt13118012,nm10533765,actor,[Mario]
tt13118012,nm5996108,actress,[Mila]
tt13118012,nm6004383,actress,\N
tt13118012,nm8050782,actress,[Graciela]
tt13118012,nm0181425,actor,[Gonzalo]
tt13118012,nm0181425,actor,[Gonzalo]
tt13118012,nm2837894,actor,[Rafa]
tt13118012,nm2837894,actor,[Rafa]
tt13118012,nm7020801,director,\N
tt1312137,nm2998573,actor,[Emre]
tt1312137,nm16191578,actor,\N
tt1312137,nm16191574,actress,\N
tt1312137,nm16191579,actor,\N
tt1312137,nm16191575,actress,\N
tt1312137,nm16191583,actor,\N
tt1312137,nm16191585,actor,\N
tt1312137,nm16191582,actress,\N
