tconst,nconst,category,characters
tt0002130,nm0660139,actor,[Dante Alighieri]
tt0002130,nm0685283,actor,[Virgilio]
tt0002130,nm0209738,actor,[Farinata degli Uberti]
tt0002130,nm0209738,actor,[Pier delle Vigne]
tt0002130,nm0209738,actor,[Il conte Ugolino]
tt0002130,nm3942815,actor,[Il conte Ugolino]
tt0002130,nm1375863,actor,[Lucifer]
tt0002130,nm1375916,actor,\N
tt0002130,nm1374534,actress,\N
tt0002130,nm0078205,director,\N
tt0002130,nm0655824,director,\N
tt0002130,nm0209738,director,\N
tt0002423,nm0624470,actress,[Jeanne Vaubernier - later Madame Dubarry]
tt0002423,nm0417837,actor,[König Louis XV]
tt0002423,nm0509573,actor,[Armand De Foix]
tt0002423,nm0903235,actor,[Graf Jean Dubarry]
tt0002423,nm0778306,actor,[Minister Choiseul]
tt0002423,nm0075970,actress,[Graefin Gramont]
tt0002423,nm0408219,actor,[Richelieu]
tt0002423,nm0194487,actor,[Aiguillon]
tt0002423,nm0686783,actor,[Guillaume Dubarry]
tt0002423,nm0324553,actor,[Revolutionär]
tt0002423,nm0523932,director,\N
tt0002844,nm0622772,actor,[Fantômas]
tt0002844,nm0622772,actor,[Gurn]
tt0002844,nm0107631,actor,[Inspector Juve]
tt0002844,nm0577476,actor,"[Jérôme Fandor, journaliste à 'La Capitale']"
tt0002844,nm0137288,actress,"[Lady Beltham, maîtresse de Fantômas]"
tt0002844,nm0264491,actress,[Princesse Danidoff]
tt0002844,nm0901357,actor,[L'acteur Valgrand]
tt0002844,nm1207319,actor,[Le gardien Nibet]
tt0002844,nm0537575,actor,[L'habilleur de Valgrand]
tt0002844,nm0029301,actress,[Josephine]
tt0002844,nm0525283,actor,[Dollon]
tt0002844,nm0275421,director,\N
tt0003014,nm0096737,actress,[Ingeborg Holm]
tt0003014,nm0344981,actor,[Poorhouse Superintendant]
tt0003014,nm0511806,actor,[Sven Holm - Older Eric Holm]
tt0003014,nm0489296,actor,[A. Sjögren - Sheriff]
tt0003014,nm0511903,actor,[Holm's Store Assistant]
tt0003014,nm0526234,actor,[Doctor at Poorhouse]
tt0003014,nm0054011,actor,[House Doctor]
tt0003014,nm0085021,actor,[Farmer hiding Ingeborg]
tt0003014,nm0540306,actor,[Erik Holm as a child]
tt0003014,nm0391580,actor,[Poor Welfare Board Member]
tt0003014,nm0803705,director,\N
tt0003037,nm0622772,actor,[Fantômas]
tt0003037,nm0622772,actor,[Dr Chaleck]
tt0003037,nm0622772,actor,[Le Loupart]
tt0003037,nm0107631,actor,[Inspector Juve]
tt0003037,nm0577476,actor,"[Jérôme Fandor, journaliste]"
tt0003037,nm0137288,actress,[Lady Beltham]
tt0003037,nm0029301,actress,[Joséphine la pierreuse]
tt0003037,nm0605849,actor,\N
tt0003037,nm0264491,actress,[Princesse Danidoff]
tt0003037,nm1274136,actress,\N
tt0003037,nm0275421,director,\N
tt0003165,nm0622772,actor,[Fantômas]
tt0003165,nm0622772,actor,[le banquier Nanteuil]
tt0003165,nm0107631,actor,[Inspector Juve]
