tconst,nconst,category,characters
tt0057952,nm0000078,actor,[Matt Masters]
tt0057952,nm0000028,actress,[Lili Alfredo]
tt0057952,nm0001012,actress,[Toni Alfredo]
tt0057952,nm0634313,actor,[Cap Carson]
tt0057952,nm0002017,actor,[Aldo Alfredo]
tt0057952,nm0808774,actor,[Steve McCabe]
tt0057952,nm0441260,actress,[Giovana]
tt0057952,nm0441251,actress,[Hilda]
tt0057952,nm0745056,actress,[Mrs. Schuman]
tt0057952,nm0532297,actress,[Anna]
tt0057952,nm0368871,director,\N
tt0057960,nm0077734,actor,[Narrator]
tt0057960,nm0001596,director,\N
tt0057967,nm0100186,actor,[Antoine Maréchal]
tt0057967,nm0000086,actor,[Léopold Saroyan]
tt0057967,nm0892891,actor,[Mickey dit le bègue ou la souris]
tt0057967,nm0350768,actor,[Martial - l'ami d'Antoine]
tt0057967,nm0125627,actor,[Lino - le barbier]
tt0057967,nm0264256,actor,[Un complice de Saroyan]
tt0057967,nm0899403,actor,[Un complice de Saroyan]
tt0057967,nm0583183,actor,[Un complice de Saroyan]
tt0057967,nm0038160,actor,[Le commissaire]
tt0057967,nm0093635,actor,[Le garagiste à Rome]
tt0057967,nm0653620,director,\N
tt0057986,nm0605059,actor,[Adam Beauchamp]
tt0057986,nm0397580,actor,[John Bray]
tt0057986,nm0163939,actor,[Alexander King]
tt0057986,nm0738050,actress,[Annette Dubois]
tt0057986,nm0664965,actor,[Hashmi Bey]
tt0057986,nm0007232,actor,[Sir Giles Dalrymple]
tt0057986,nm0666881,actor,[Inspector Mackenzie]
tt0057986,nm0654120,actor,[The Mummy of Ra-Antef]
tt0057986,nm0654120,actor,[Albert -- Landlady's Husband]
tt0057986,nm0580594,actress,[Jenny]
tt0057986,nm0728085,actor,[Achmed]
tt0057986,nm0140257,director,\N
tt0057993,nm0824489,actress,[Elisabeth Blackwood]
tt0057993,nm0729676,actor,[Alan Foster]
tt0057993,nm0733433,actress,[Julia Alert]
tt0057993,nm0231572,actor,[Dr. Carmus]
tt0057993,nm0870995,actor,[Edgar Allan Poe]
tt0057993,nm0815178,actress,[Elsi Perkings]
tt0057993,nm0706770,actor,[Lord Thomas Blackwood]
tt0057993,nm0161836,actor,[Herbert]
tt0057993,nm0824934,actor,[William]
tt0057993,nm16098297,actor,\N
tt0057993,nm0546672,director,\N
tt0057997,nm0000012,actress,[Margaret DeLorca]
tt0057997,nm0000012,actress,[Edith Phillips]
tt0057997,nm0001500,actor,[Sgt. Jim Hobbson]
tt0057997,nm0492444,actor,[Tony Collins]
tt0057997,nm0137023,actor,[Sgt. Hoag]
tt0057997,nm0353405,actress,[Didi Marshall]
tt0057997,nm0534317,actor,[Paul Harrison]
tt0057997,nm0936115,actress,[Dona Anna]
tt0057997,nm0151370,actor,[George]
tt0057997,nm0017113,actor,[Garcia]
tt0057997,nm0216819,actor,[Henry]
tt0057997,nm0002134,director,\N
tt0057999,nm0001229,actor,[Harry Mork]
tt0057999,nm0656183,actress,[Evie Jackson]
tt0057999,nm0001450,actress,[Phyllis]
tt0057999,nm0026295,actor,[Patrick]
tt0057999,nm0629539,actress,[June Loveland]
tt0057999,nm0058117,actress,[Mitchell]
tt0057999,nm0236866,actor,[Frank Taylor]
tt0057999,nm0212586,actor,[Mr. Cruikshank]
tt0057999,nm0666332,actress,[Connie Templeton]
tt0057999,nm0528373,actor,[The Masher]
tt0057999,nm0542720,director,\N
tt0058001,nm0433414,actor,[První]
tt0058001,nm0474951,actor,[Druhý]
tt0058001,nm0083905,actress,[Zena]
tt0058001,nm0726841,actor,[Starý muz]
tt0058001,nm0039336,actor,[Starý muz]
